Burundi,59,57,61,1300,740,0.3,0.4,37,29,0.42,1.02,Ñ,35,10.7,43,10,0,17.2,30.4,65,6.2,46,3,790,10,977,22,18
Comoros,61,60,62,630,350,Ñ,Ñ,63,65,0.86,0.44,Ñ,3,0.8,33,9,-3,1,1.3,36,4.3,41,3,1530,28,868,19,14
Djibouti,62,60,63,400,230,0.5,0.8,53,43,0.68,0.54,Ñ,13,0.9,27,9,-3,1.1,1.2,58,3.4,34,4,Ñ,77,38827,19,18
Eritrea,63,60,65,1700,380,0.2,0.3,Ñ,Ñ,0.5,0.89,Ñ,22,5.2,37,7,-5,7.3,10.4,46,4.4,43,2,1180,21,981,8,7
Ethiopia,64,62,65,1400,420,0.5,0.6,Ñ,Ñ,Ñ,0.88,39,26,98.1,31,8,0,130.5,165.1,49,4.1,41,4,1500,17,641,42,40
Kenya,62,60,65,490,400,Ñ,Ñ,69,65,0.7,0.86,36,21,44.3,31,8,0,60.1,81.4,39,3.9,41,3,2890,24,794,58,53
Madagascar,65,64,66,740,440,0.2,0.1,39,38,0.94,0.96,37,21,23,34,7,0,34.3,52.8,38,4.4,41,3,1400,33,660,40,33
Malawi,61,60,62,1100,510,2.4,4.1,38,35,0.65,1.04,Ñ,17,17.2,37,11,0,24.7,36.6,53,5,44,3,780,16,458,59,57
Mauritius,74,71,78,70,73,0.2,0.2,94,98,1.22,0.59,38,12,1.3,11,8,-1,1.3,1.2,14.5,1.4,20,9,18290,41,1663,76,39
Mayotte,79,76,83,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,0.2,31,2,-5,0.3,0.5,4,4.1,44,3,Ñ,50,Ñ,Ñ,Ñ
Mozambique,54,52,56,1300,480,Ñ,Ñ,27,25,0.69,1.03,Ñ,40,25.7,45,13,0,41,72.9,83,5.9,45,3,1170,31,455,12,11
Reunion,80,77,84,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,0.9,17,5,-3,1,1.2,8,2.4,24,10,Ñ,94,Ñ,67,64
Rwanda,65,63,66,1400,320,1,1.3,31,34,0.75,1.01,34,58,11.3,31,8,-1,15.8,21,32,4.2,41,3,1530,28,959,53,48
Seychelles,73,69,78,Ñ,Ñ,Ñ,Ñ,69,75,2.2,Ñ,53,44,0.09,17,8,6,0.1,0.1,12.7,2.4,22,8,24630,54,9173,Ñ,Ñ
Somalia,55,53,57,1300,850,0.2,0.2,Ñ,Ñ,Ñ,0.49,Ñ,14,11.1,44,12,-7,16.9,27.1,79,6.6,47,3,Ñ,38,985,15,1
South Sudan,55,54,56,1800,730,0.7,1.3,Ñ,Ñ,Ñ,Ñ,Ñ,24,12.2,36,12,11,17.3,24.8,77,6.9,42,3,2030,17,Ñ,4,1
Tanzania,62,60,63,910,410,1.4,2.1,34,32,0.54,0.98,33,36,52.3,39,9,-1,79.4,129.4,37,5.2,45,3,2530,30,360,34,26
Uganda,59,58,60,780,360,2.3,3.7,29,25,0.78,0.96,35,35,40.1,40,9,-1,63.4,104.1,54,5.9,48,2,1690,18,582,27,26
Zambia,53,51,56,580,280,3.3,4.2,Ñ,Ñ,Ñ,0.85,Ñ,13,15.5,43,13,0,23.7,42,75,5.6,46,3,3860,40,408,49,45
Zimbabwe,61,60,62,520,470,4.8,7,48,47,0.85,0.93,34,35,17.4,33,9,-3,25.2,37.5,55,4.3,43,3,1710,33,436,67,67
MIDDLE AFRICA,52,50,54,1061,672,0.6,1,48,32,0.48,0.9,Ñ,17,149,44,14,0,229,378,96,6.1,46,3,2680,46,569,20,10
Angola,52,50,53,1400,460,0.6,1.1,38,25,0.37,0.82,Ñ,37,25,46,14,1,39.4,65.5,95,6.1,47,2,7150,62,421,18,12
Cameroon,57,56,58,720,590,1.2,2.1,56,48,0.73,0.83,26,27,23.7,37,11,0,34.4,51.9,57,4.9,43,3,2940,52,383,23,14
Central African Republic,50,48,52,1200,880,1.4,2,24,12,0.36,0.85,Ñ,Ñ,5.6,45,16,0,8.5,13.9,109,6.2,45,3,610,39,307,15,9
