country,Deaths_per_100k_Population,Infant_mortality_rate,LifeExp_Male,Percent_HIV-AIDS_Female,Percent_of_pop_over_65,Total_fertility_rate,Maternal_Deaths_1990,INET_USRS_2014
Brazil,6.116,14.4,70.737,,7.57532620019252,1.79,104.0,51.04
Brunei Darussalam,2.992,8.5,76.993,,4.16728558628059,1.874,35.0,64.5
Bulgaria,15.1,9.7,71.7,,19.7291103227358,1.48,25.0,53.0615
Burkina Faso,9.56,62.2,57.307,0.5,2.4108489767413,5.521,727.0,9.1
Burundi,11.313,55.8,54.753,0.4,2.46883106557725,5.948,1220.0,1.3
Cabo Verde,5.411,21.3,71.367,0.3,4.72654532151794,2.303,256.0,37.5
Cambodia,6.127,26.3,66.224,0.2,4.01498264368218,2.635,1020.0,6.8
Cameroon,11.462,58.6,54.363,2.1,3.21852434640405,4.704,728.0,6.4
Canada,7.4,4.4,80.021,,15.6909477359273,1.61,7.0,85.8
Cayman Islands,,,,,,,,74.1
Central African Republic,14.532,93.5,48.849,2.0,3.8685839982216,4.286,1290.0,3.5
Chad,14.065,86.7,50.508,1.0,2.4622116363276,6.156,1450.0,2.3
Channel Islands,9.021,,78.726,,16.936231332519,1.466,,
Chile,5.118,7.2,78.644,0.1,10.6982140668561,1.761,57.0,66.5
China,7.2,9.8,74.293,,9.18268084838188,1.562,97.0,45.8
Colombia,5.872,14.1,70.499,0.1,6.76025074222047,1.897,118.0,51.7
Comoros,7.514,56.6,61.631,,2.78964299582722,4.49,635.0,6.5
"Congo, Dem. Rep.",10.314,76.5,57.247,0.5,2.96168798361794,6.006,879.0,2.2
"Congo, Rep.",8.569,34.4,60.837,1.4,3.64828826525062,4.869,603.0,6.6
Costa Rica,4.829,8.6,77.011,0.1,8.60041794129232,1.819,43.0,45.96
Cote d'Ivoire,13.548,68.5,50.743,1.4,3.03486371212632,5.001,745.0,8.4
Croatia,12.0,3.8,74.5,,18.6005954622963,1.46,10.0,66.7476
Cuba,7.811,4.1,77.384,0.1,13.6144466821705,1.615,58.0,27.93
Curacao,8.8,,74.8,,14.4552942611532,2.0,,
Cyprus,6.863,2.6,77.974,,12.5597014019753,1.446,16.0,65.4548
Czech Republic,10.0,2.9,75.3,,17.5429535565292,1.46,14.0,74.1104
Denmark,9.1,3.0,78.5,0.1,18.4990735623216,1.67,11.0,94.6297
Djibouti,8.606,55.8,60.436,0.8,4.11048490368352,3.195,517.0,9.5
Dominica,,19.5,,,,,,59.0
Dominican Republic,6.065,26.2,70.441,0.4,6.51088517398183,2.48,198.0,45.9
Ecuador,5.131,19.0,73.192,0.1,6.53828517990034,2.542,185.0,40.3536842279418
"Egypt, Arab Rep.",6.129,21.0,68.99,0.1,5.17090205846929,3.338,106.0,29.4
El Salvador,6.79,14.9,68.297,0.2,7.9911508510724,1.931,157.0,23.1093
Equatorial Guinea,10.764,70.3,56.329,2.5,2.86215486943969,4.835,1310.0,16.4
